"","age_group","is_female","N","n_prefrail","n_frail","prefrail","frail","fi"
"1","[40,45)",1,11894,968,485,0.0813855725575921,0.0407768622835043,"efragicap"
"2","[40,45)",0,5881,337,260,0.0573031797313382,0.0442101683387179,"efragicap"
"3","[45,50)",1,12434,1222,792,0.0982789126588387,0.0636963165513914,"efragicap"
"4","[45,50)",0,6736,573,453,0.0850653206650831,0.067250593824228,"efragicap"
"5","[50,55)",1,15015,1717,1159,0.114352314352314,0.0771894771894772,"efragicap"
"6","[50,55)",0,8594,822,699,0.0956481265999535,0.0813358156853619,"efragicap"
"7","[55,60)",1,17445,2285,1686,0.130983089710519,0.09664660361135,"efragicap"
"8","[55,60)",0,10842,1224,1056,0.11289429994466,0.097399003873824,"efragicap"
"9","[60,65)",0,11298,1545,1411,0.136749867233139,0.12488936094884,"efragicap"
"10","[60,65)",1,16990,2609,2043,0.153560918187169,0.120247204237787,"efragicap"
"11","[65,70)",1,16190,2935,2294,0.181284743668931,0.141692402717727,"efragicap"
"12","[65,70)",0,10766,1761,1608,0.163570499721345,0.149359093442318,"efragicap"
"13","[70,75)",0,9530,1833,1689,0.192339979013641,0.177229800629591,"efragicap"
"14","[70,75)",1,12771,2551,2326,0.199749432307572,0.182131391433717,"efragicap"
"15","[75,80)",1,7475,1508,1573,0.201739130434783,0.210434782608696,"efragicap"
"16","[75,80)",0,6090,1203,1288,0.197536945812808,0.211494252873563,"efragicap"
"17","[80,85)",0,2932,624,747,0.212824010914052,0.254774897680764,"efragicap"
"18","[80,85)",1,3509,721,939,0.205471644343118,0.2675976061556,"efragicap"
"19","[85,90)",1,1332,285,384,0.213963963963964,0.288288288288288,"efragicap"
"20","[85,90)",0,1251,277,338,0.221422861710631,0.270183852917666,"efragicap"
"21","[90,95)",0,394,77,126,0.195431472081218,0.319796954314721,"efragicap"
"22","[90,95)",1,377,74,124,0.196286472148541,0.328912466843501,"efragicap"
"23","[40,45)",0,5881,482,601,0.0819588505356232,0.102193504506036,"vafi"
"24","[40,45)",1,11894,1435,1426,0.120649066756348,0.119892382713973,"vafi"
"25","[45,50)",0,6736,679,969,0.100801662707838,0.143853919239905,"vafi"
"26","[45,50)",1,12434,1616,1980,0.129966221650314,0.159240791378478,"vafi"
"27","[50,55)",1,15015,2115,2787,0.140859140859141,0.185614385614386,"vafi"
"28","[50,55)",0,8594,900,1479,0.104724226204329,0.172096811729113,"vafi"
"29","[55,60)",1,17445,2499,3618,0.143250214961307,0.207394668959587,"vafi"
"30","[55,60)",0,10842,1264,2109,0.116583656152001,0.194521306032097,"vafi"
"31","[60,65)",0,11298,1493,2590,0.132147282704904,0.229244114002478,"vafi"
"32","[60,65)",1,16990,2596,4022,0.152795762213067,0.236727486756916,"vafi"
"33","[65,70)",0,10766,1686,2822,0.156604124094371,0.262121493590934,"vafi"
"34","[65,70)",1,16190,2675,4224,0.165225447807288,0.260901791229154,"vafi"
"35","[70,75)",1,12771,2207,3906,0.172813405371545,0.30584918957012,"vafi"
"36","[70,75)",0,9530,1625,2859,0.170514165792235,0.3,"vafi"
"37","[75,80)",1,7475,1359,2428,0.18180602006689,0.324816053511706,"vafi"
"38","[75,80)",0,6090,1055,2013,0.173234811165846,0.330541871921182,"vafi"
"39","[80,85)",1,3509,603,1348,0.17184383015104,0.384155029923055,"vafi"
"40","[80,85)",0,2932,510,1119,0.173942701227831,0.381650750341064,"vafi"
"41","[85,90)",0,1251,216,494,0.172661870503597,0.394884092725819,"vafi"
"42","[85,90)",1,1332,199,558,0.149399399399399,0.418918918918919,"vafi"
"43","[90,95)",1,377,56,171,0.148541114058355,0.453580901856764,"vafi"
"44","[90,95)",0,394,62,176,0.157360406091371,0.446700507614213,"vafi"
